PID: 2, exec_ticks: 48, current tickets: 0
PID: 5, exec_ticks: 11, current tickets: 0
PID: 1, exec_ticks: 57, current tickets: 0
PID: 2, exec_ticks: 49, current tickets: 0
PID: 5, exec_ticks: 12, current tickets: 0
PID: 1, exec_ticks: 58, current tickets: 0
PID: 2, exec_ticks: 50, current tickets: 0
PID: 5, exec_ticks: 13, current tickets: 0
PID: 1, exec_ticks: 59, current tickets: 0
PID: 2, exec_ticks: 51, current tickets: 0
PID: 5, exec_ticks: 14, current tickets: 0
PID: 1, exec_ticks: 60, current tickets: 0
PID: 2, exec_ticks: 52, current tickets: 0
PID: 5, exec_ticks: 15, current tickets: 0
PID: 1, exec_ticks: 61, current tickets: 0
PID: 2, exec_ticks: 53, current tickets: 0
PID: 5, exec_ticks: 16, current tickets: 0
PID: 1, exec_ticks: 62, current tickets: 0
PID: 2, exec_ticks: 54, current tickets: 0
PID: 5, exec_ticks: 17, current tickets: 0
PID: 1, exec_ticks: 63, current tickets: 0
PID: 2, exec_ticks: 55, current tickets: 0
PID: 5, exec_ticks: 18, current tickets: 0
PID: 1, exec_ticks: 64, current tickets: 0
PID: 2, exec_ticks: 56, current tickets: 0
PID: 5, exec_ticks: 19, current tickets: 0
PID: 1, exec_ticks: 65, current tickets: 0
PID: 2, exec_ticks: 57, current tickets: 0
PID: 5, exec_ticks: 20, current tickets: 0
PID: 1, exec_ticks: 66, current tickets: 0
PID: 2, exec_ticks: 58, current tickets: 0
PID: 5, exec_ticks: 21, current tickets: 0
PID: 1, exec_ticks: 67, current tickets: 0
PID: 2, exec_ticks: 59, current tickets: 0
PID: 5, exec_ticks: 22, current tickets: 0
PID: 1, exec_ticks: 68, current tickets: 0
PID: 2, exec_ticks: 60, current tickets: 0
PID: 5, exec_ticks: 23, current tickets: 0
PID: 1, exec_ticks: 69, current tickets: 0
PID: 2, exec_ticks: 61, current tickets: 0
PID: 5, exec_ticks: 24, current tickets: 0
PID: 1, exec_ticks: 70, current tickets: 0
PID: 2, exec_ticks: 62, current tickets: 0
PID: 5, exec_ticks: 25, current tickets: 0
PID: 1, exec_ticks: 71, current tickets: 0
PID: 2, exec_ticks: 63, current tickets: 0
PID: 5, exec_ticks: 26, current tickets: 0
PID: 1, exec_ticks: 72, current tickets: 0
PID: 2, exec_ticks: 64, current tickets: 0
PID: 5, exec_ticks: 27, current tickets: 0
PID: 1, exec_ticks: 73, current tickets: 0
PID: 2, exec_ticks: 65, current tickets: 0
PID: 5, exec_ticks: 28, current tickets: 0
PID: 1, exec_ticks: 74, current tickets: 0
PID: 2, exec_ticks: 66, current tickets: 0
PID: 5, exec_ticks: 29, current tickets: 0
PID: 1, exec_ticks: 75, current tickets: 0
PID: 2, exec_ticks: 67, current tickets: 0
PID: 5, exec_ticks: 30, current tickets: 0
PID: 1, exec_ticks: 76, current tickets: 0
PID: 2, exec_ticks: 68, current tickets: 0
PID: 5, exec_ticks: 31, current tickets: 0
PID: 1, exec_ticks: 77, current tickets: 0
PID: 2, exec_ticks: 69, current tickets: 0
PID: 5, exec_ticks: 32, current tickets: 0
PID: 1, exec_ticks: 78, current tickets: 0
PID: 2, exec_ticks: 70, current tickets: 0
PID: 5, exec_ticks: 33, current tickets: 0
PID: 1, exec_ticks: 79, current tickets: 0
PID: 2, exec_ticks: 71, current tickets: 0
PID: 5, exec_ticks: 34, current tickets: 0
PID: 1, exec_ticks: 80, current tickets: 0
PID: 2, exec_ticks: 72, current tickets: 0
PID: 5, exec_ticks: 35, current tickets: 0
PID: 1, exec_ticks: 81, current tickets: 0
PID: 2, exec_ticks: 73, current tickets: 0
